cust_id,lookalikes
C0001,"[('C0140', 0.9969872321794545), ('C0091', 0.9936719959001257), ('C0069', 0.9913898123170012)]"
C0002,"[('C0134', 0.9988525104659369), ('C0143', 0.9984283201161394), ('C0159', 0.9905512047614048)]"
C0003,"[('C0007', 0.9977578013612544), ('C0163', 0.9976789604264621), ('C0005', 0.9933129368733777)]"
C0004,"[('C0075', 0.9943484807181324), ('C0146', 0.9881684561311429), ('C0090', 0.9757452464192279)]"
C0005,"[('C0163', 0.9968855925977347), ('C0007', 0.9945109561672151), ('C0003', 0.9933129368733777)]"
C0006,"[('C0185', 0.9934704146817561), ('C0169', 0.9919864846415721), ('C0081', 0.9901268534243353)]"
C0007,"[('C0163', 0.9996650656351432), ('C0003', 0.9977578013612544), ('C0005', 0.9945109561672151)]"
C0008,"[('C0055', 0.9879318308382161), ('C0170', 0.9753498999698658), ('C0173', 0.9740592115828419)]"
C0009,"[('C0190', 0.9914606881229527), ('C0067', 0.9756782030633854), ('C0049', 0.9744325880552617)]"
C0010,"[('C0042', 0.9999985812091754), ('C0083', 0.9999624065682725), ('C0029', 0.9968731061721322)]"
C0011,"[('C0188', 0.9934005004390136), ('C0074', 0.9933425886444645), ('C0016', 0.9887425241603375)]"
C0012,"[('C0152', 0.9998514411784917), ('C0199', 0.9919566578924198), ('C0148', 0.9883635638704233)]"
C0013,"[('C0044', 0.9914932128079997), ('C0046', 0.9863091107328992), ('C0056', 0.9705652737446485)]"
C0014,"[('C0089', 0.9999962271955197), ('C0110', 0.9999950760720088), ('C0128', 0.9999950760720088)]"
C0015,"[('C0071', 0.9908959155603598), ('C0136', 0.9846774955563619), ('C0052', 0.9784454382797918)]"
C0016,"[('C0188', 0.9898495070196847), ('C0011', 0.9887425241603375), ('C0021', 0.980306608356558)]"
C0017,"[('C0179', 0.9911943233011655), ('C0177', 0.9909020962151538), ('C0035', 0.9882613140462861)]"
C0018,"[('C0051', 0.9947840204067978), ('C0186', 0.988826793006645), ('C0023', 0.9887358817734182)]"
C0019,"[('C0070', 0.9860200396295362), ('C0115', 0.9797970907483993), ('C0191', 0.9696349954723619)]"
C0020,"[('C0120', 0.9999993303923727), ('C0130', 0.9999980297358531), ('C0069', 0.999802681899195)]"
